Substance,Sector,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GWP_100_AR5_CH4,Industrial Combustion,IND,India,0.659375257,0.659375257,0.6784243504,0.7154304127,0.7395313998,0.7622607341,0.7725289899,0.7897191733,0.7280164298,0.6920898636,0.7169714655,0.7810759743,0.8163850889,0.8016603016,0.8065398335,0.7818373782,0.8284703471,0.8221641223,0.8254452969,0.8430678275,0.8464125603,0.9031558034,0.9169996701,0.9559476023,1.040589544,1.017869374,1.094446009,1.161424368,1.188377769,1.20313947,1.223679512,1.453155988,1.474798888,1.480577155,1.574958718,1.662693394,1.768192762,1.898913618,1.992444026,2.090624598,2.336859195,2.449260371,2.485312282,2.69696159,2.863971316,2.993476574,3.058273029,3.251878862,3.437458686,3.410825815,3.502734026,3.825787706,4.056354688,4.337324231,4.387680673
GWP_100_AR5_CH4,Power Industry,IND,India,0.01218547748,0.01217337004,0.01397241077,0.01394002826,0.01545801528,0.01697634126,0.01824428351,0.01823008946,0.01793015133,0.02044239087,0.02291757994,0.02466430883,0.02815627493,0.031596726,0.03923503456,0.04278730974,0.04924083771,0.05696202744,0.05680272468,0.06285486984,0.07138310104,0.08091145341,0.08802786956,0.09285229588,0.09864293903,0.1160806421,0.123813663,0.1327575179,0.1413560406,0.1512912523,0.1612919696,0.1683337373,0.1822069268,0.2035492995,0.2431445213,0.258672922,0.305325172,0.352197552,0.3442352536,0.4235246859,0.4830062571,0.5115765034,0.5397419915,0.5397188455,0.6166379466,0.6077864471,0.7598872734,0.92338954,0.8905763582,0.8696000015,0.9464498723,1.021511624,1.116842466,0.9766512139,1.006104884
GWP_100_AR5_CH4,Processes,IND,India,0.1019235859,0.09309566195,0.09750692818,0.09256606129,0.0807796119,0.07727318477,0.07531474327,0.06797604691,0.05966527194,0.06608973207,0.05102664306,0.05228678839,0.04004043041,0.031739058,0.04047099942,0.04119069859,0.03860636251,0.03757268069,0.04726917206,0.06414893282,0.05796246108,0.07263452948,0.06605336256,0.06863160868,0.07647806916,0.10541213,0.0904669722,0.09557472464,0.1193378566,0.09928843753,0.1050885429,0.0990168802,0.107168579,0.1173939035,0.1196363658,0.1269980396,0.1302583904,0.1357327026,0.1584162832,0.1781038168,0.1968889664,0.2186993032,0.2249060016,0.2398354896,0.2581190528,0.265165628,0.2915319568,0.3204116132,0.3282766482,0.3232516134,0.3055566493,0.3644573487,0.3901047609,0.430244127,0.4561155488
GWP_100_AR5_CH4,Transport,IND,India,0.1018828952,0.1064032621,0.1148839879,0.1160400311,0.1117646977,0.118098761,0.1224843764,0.1311670421,0.1424648769,0.1570545274,0.1656400274,0.1807925647,0.1609195037,0.1794494389,0.1990739605,0.2215746865,0.2459964943,0.278124658,0.3055141772,0.3571178226,0.3671227473,0.3995228416,0.4327931572,0.4954424355,0.58670043,0.716057992,0.7961651354,0.8586336086,0.9410021435,1.036979291,1.190360553,1.048682881,1.29818597,1.209244972,1.241860448,1.367739591,1.263116772,1.199853346,1.265366227,1.421843939,1.544030529,1.547296436,1.509110242,1.478630957,1.502605084,1.539022179,1.72414168,1.771351218,1.77800535,1.857261627,1.671496436,1.964264609,2.127531025,2.270279329,2.404864988
GWP_100_AR5_CH4,Waste,IND,India,49.79251173,50.99347281,51.84290722,52.81262633,53.63701764,54.63645139,55.61789929,56.56642427,57.57350358,58.41426223,59.21034162,60.47271604,61.52489483,63.24772958,63.63256376,64.4652692,67.37223963,66.55038732,67.62459646,68.39297728,69.29130894,70.43912314,74.45638803,72.74817718,74.07973436,75.93268966,77.2493656,79.07196694,81.9290933,83.185053,84.21688952,85.88705741,87.74750827,89.72877616,92.0432191,93.97871171,96.1656703,98.30079806,99.3234031,100.5415901,102.9249345,105.06793,106.9683984,109.0074568,111.5062921,114.3490449,115.9961406,117.7290264,120.9867764,122.630217,123.9437556,126.6138792,129.8785412,133.0172515,135.2280321
GWP_100_AR5_F-gases,Processes,IND,India,2.462293145,2.604094301,2.824812935,2.41954625,2.228103095,3.291746422,4.162638077,4.35008948,4.898510223,5.548054801,5.873117518,6.07010336,6.328563382,6.570656176,8.203067387,9.114232944,8.21728218,8.131903955,8.050640072,8.83692982,8.444534823,8.741105213,8.306867638,7.974292188,7.323143774,6.628910945,6.499098141,7.056720083,8.210955515,8.757100925,10.22043359,10.38916067,11.14387348,13.11726961,13.63919585,10.49353311,11.4450651,13.12615476,16.41391865,19.83343453,23.33798745,26.84541642,30.28649665,33.7438752,37.31920597,40.96911814,44.4969465,48.1149007,51.40778384,54.8985877,58.29126141,61.77774702,65.28381674,68.74555976,72.22946613
GWP_100_AR5_N2O,Agriculture,IND,India,51.84331316,52.30961428,52.81901666,53.06934313,54.70311487,55.94524279,58.97888931,62.44051535,64.40921249,67.81928773,69.34534528,72.4733916,74.97088089,79.82796418,84.35010666,87.07198675,92.39757404,88.55216613,97.58679258,98.61827125,101.6831874,104.8724619,108.2778801,110.6414649,115.2578655,117.5620137,121.0462228,124.382906,126.93963,128.8465961,125.0684594,127.588391,122.3616367,127.1185871,131.6625138,138.4725352,145.532136,151.7300347,155.3687167,157.9543822,163.6376347,167.9772158,166.1429653,165.6383463,166.7044658,169.4692574,167.2687706,169.6693619,174.2524887,182.6151839,190.7453309,186.2210276,190.5884386,196.3308136,200.5719888
GWP_100_AR5_N2O,Buildings,IND,India,2.892860868,2.892860868,2.986420708,3.076604821,3.092370115,3.101031093,3.195075314,3.296906091,3.417667517,3.491837254,3.555976183,3.586967293,4.091183322,4.226160265,4.405394387,4.521191243,4.643086441,4.882087494,5.079607307,5.158769443,5.337417718,5.49238261,5.630989047,5.773983372,5.987624555,6.298442841,6.448843432,6.546962922,6.588481907,6.780779335,6.763968051,6.637003264,6.709330271,6.748844195,6.870516894,6.752018615,7.06190173,6.885569423,6.905009051,7.066428941,7.276622606,7.520089103,7.742420015,7.782480186,7.799472083,7.770225194,7.836775549,8.035497578,8.124120761,8.074151576,7.732773425,7.898380095,8.148323195,8.163015263,8.280339866
GWP_100_AR5_N2O,Fuel Exploitation,IND,India,0.130261845,0.1302136385,0.1319902305,0.1333522858,0.1396370968,0.1386714497,0.1402503381,0.1416277918,0.1371602884,0.1382998949,0.140172456,0.1429795587,0.1454720706,0.1495153889,0.1507934045,0.1530017998,0.1545603609,0.1583998738,0.1610324762,0.1619523295,0.1640509471,0.1662265289,0.1671418586,0.1683484186,0.1701411314,0.1716075707,0.1723078374,0.1729368723,0.1741318617,0.1770951656,0.1780589068,0.1790400719,0.1785396839,0.1824320781,0.1843637092,0.182777686,0.178054809,0.1814224287,0.1798898685,0.1791255761,0.1830454255,0.1897363937,0.2013494737,0.1963539516,0.1968166541,0.1944299918,0.1900311661,0.1827794,0.1761021379,0.1722613718,0.1656326398,0.1630327111,0.1619266128,0.1612318503,0.1620818943
GWP_100_AR5_N2O,Industrial Combustion,IND,India,1.020989574,1.020989574,1.045203204,1.092050418,1.124411246,1.154238423,1.168859955,1.191530036,1.112235035,1.067126833,1.102907368,1.186130423,1.238186239,1.220195915,1.231611298,1.200763858,1.268138122,1.26588338,1.272528993,1.299104566,1.30307384,1.383758655,1.388844059,1.441623114,1.568797832,1.529075129,1.650154545,1.741033436,1.771421253,1.780350997,1.80863041,1.939925445,1.940472106,1.910464743,2.030704087,2.158972693,2.347170958,2.51790109,2.618319874,2.720226242,3.059735668,3.216950453,3.238409697,3.534630402,3.759908129,3.944920164,4.024258524,4.312003494,4.593090083,4.512720627,4.641887676,5.07838073,5.407863674,5.768468508,5.836876687
GWP_100_AR5_N2O,Power Industry,IND,India,0.5491131259,0.5263482431,0.5676307849,0.5663074809,0.6535691247,0.7072920944,0.7659449948,0.6996593794,0.5509886059,0.6177569837,0.7456699409,0.811855338,0.8355983351,0.8744052865,0.8609522142,0.9838939456,1.090354887,1.216163852,1.227392748,1.288249222,1.332103452,1.477869933,1.607910787,1.792839535,1.891092474,2.14884954,2.28403469,2.432950817,2.842692366,3.248498888,3.620184411,3.693445384,3.811545761,4.002802947,4.390755267,4.82434116,5.827479548,7.316242401,7.795372168,9.099654055,10.38980466,12.59330256,15.94880662,17.12849174,18.52906675,18.36251535,18.15381486,17.9631739,18.7905823,18.89829136,17.25701659,19.39489949,21.87911679,23.63468047,24.79883178
GWP_100_AR5_N2O,Processes,IND,India,3.839116636,3.841023319,4.803755216,5.730077151,5.869065769,6.647092443,6.863124365,6.459312786,6.290401005,6.824622145,6.359300881,6.82333973,6.424217165,6.715299639,6.747204859,6.642016089,6.668108754,6.707700034,6.709926751,6.797198956,6.942235129,7.417266077,7.621767294,8.068327003,8.192638893,8.334106321,8.531676339,8.760840199,8.86683503,9.04921029,9.361175066,9.352264855,9.371833046,9.547740196,10.03545659,10.22351162,10.61267631,11.25815646,11.84935334,12.4089915,11.71308835,12.00931083,12.54263001,12.78399679,13.49673475,13.67438045,13.6351293,14.24013523,14.87972163,14.66867417,13.93210873,15.04071386,16.09554183,16.89344231,17.43295655
GWP_100_AR5_N2O,Transport,IND,India,0.7697644701,0.7693704385,0.819821722,0.8652677576,0.9972210961,1.07829467,1.132837989,1.203523057,1.291136118,1.476859574,1.53284979,1.614423801,1.203578255,1.263477049,1.349488191,1.457054829,1.552852666,1.734906736,1.862990227,2.137178735,2.162576704,2.192451057,2.238363293,2.273262064,2.344579493,2.573292394,2.734903974,2.641004827,2.67553784,2.736443613,2.690377725,2.515668614,2.55223632,2.471887981,2.723542644,2.886167998,2.979745093,3.687954091,4.273825521,4.650657757,5.183752973,5.473919447,5.611406924,5.614173543,5.860389241,6.160243324,6.114273248,6.510883527,6.83164887,6.818793562,5.55842957,6.605500441,6.900593935,7.064305181,7.481143745
GWP_100_AR5_N2O,Waste,IND,India,5.081185804,4.914822325,5.129405967,5.250452513,5.167760862,5.285477185,5.4039645,5.740981546,6.088572368,6.107657047,5.77755024,6.497895201,6.520934393,7.037124974,7.319374125,7.093296153,7.643624884,7.809405207,7.976971141,8.56702245,8.454412138,8.780749982,8.985241565,9.144029012,9.327355941,9.512240883,9.723836691,9.886427582,10.24488613,10.4364996,10.32405523,10.5831521,10.6252262,10.6800995,10.82406467,11.09975322,11.55301098,12.03297735,12.33945198,12.70695393,13.05489882,13.46604685,13.82555329,14.21879247,14.57202403,14.95022582,15.35623918,15.78868481,16.17997212,16.59664159,17.15452315,17.69512671,18.02803188,18.47590129,18.93490577
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
values in GHG_by_sector_and_country sheet are expressed in Mt CO2eq/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
