ISO,Country,Data source,Sector,Gas,Unit,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
WORLD,World,Climate Watch,Total including LUCF,All GHG,MtCO₂e,50809.05,50356.43,48271.97,50603.57,50226.78,49115.57,48391.19,47803.99,47914.39,47264.31,46642.9,46150.17,45999.53,44176.85,44256.51,44004.27,43239.65,41765.09,40808.89,38959.72,37961.96,36979.99,36913.53,36237.04,36252.91,36750.4,35360.41,34975.22,34164.05,33902.13,33716.5,33767.18,33589.16
IND,India,Climate Watch,Total including LUCF,All GHG,MtCO₂e,3805.03,3584.74,3326.2,3507.03,3506.66,3367.94,3247.88,3179,3134.57,2947.22,2884.2,2729.53,2680.84,2564.09,2450.97,2335.8,2188.97,2090.59,2019.2,1929.69,1885.83,1867.02,1620.92,1580.92,1499.21,1470.03,1410.07,1361.15,1293.11,1244.03,1208.14,1181.45,1126.56
