Regime,Start_Year,End_Year,Order,AIC
1,1970,1975,"(3, 2, 0)",17.83496367080437
2,1976,1988,"(0, 2, 2)",75.98681131102576
3,1989,2018,"(0, 2, 1)",169.17892007010718
4,2019,2024,"(3, 2, 0)",21.380603639761183
