Regime,Start_Year,End_Year,Order,AIC
1,1970,1988,"(0, 1, 1)",31.48454331570898
2,1989,1994,"(3, 2, 0)",5.624306075994584
3,1995,2006,"(0, 1, 0)",39.60706492766703
4,2007,2024,"(0, 2, 3)",-22.93697638652049
