Regime,Start_Year,End_Year,Order,AIC
1,1970,1982,"(0, 1, 0)",43.08659243218033
2,1983,2001,"(0, 2, 1)",83.12683472586438
3,2002,2019,"(2, 2, 1)",105.85770085144252
4,2020,2024,"(1, 2, 0)",19.606077924681323
