Regime,Start_Year,End_Year,Order,AIC
1,1970,1989,"(0, 1, 0)",-65.79207403296179
2,1990,2004,"(1, 1, 2)",-33.63818536981566
3,2005,2019,"(2, 2, 2)",-17.703469248510586
4,2020,2024,"(3, 0, 1)",-8.459573936727438
