Regime,Start_Year,End_Year,Order,AIC
1,1970,1991,"(0, 1, 0)",-83.54614582257248
2,1992,2004,"(0, 1, 0)",-23.633802027959334
3,2005,2019,"(2, 2, 1)",-28.74679921795422
4,2020,2024,"(3, 0, 1)",-10.629917483210242
