Regime,Start_Year,End_Year,Order,AIC
1,1970,1997,"(1, 1, 1)",-29.19035994560207
2,1998,2004,"(3, 0, 1)",-9.925301773898717
3,2005,2009,"(3, 0, 2)",-5.6996495789348245
4,2010,2024,"(3, 2, 3)",14.0
