Regime,Start_Year,End_Year,Order,AIC
1,1970,2000,"(1, 1, 1)",-254.69820970896615
2,2001,2012,"(1, 1, 1)",-41.67913011725643
3,2013,2017,"(2, 2, 0)",-6.198015932340114
4,2018,2024,"(0, 0, 0)",-11.896444952196985
