Regime,Start_Year,End_Year,Order,AIC
1,1970,1986,"(0, 1, 0)",78.38978045679508
2,1987,2003,"(0, 2, 1)",72.24623986070937
3,2004,2016,"(2, 2, 0)",76.79000660407621
4,2017,2024,"(0, 2, 1)",60.53723776146136
