Regime,Start_Year,End_Year,Order,AIC
1,1970,2004,"(0, 2, 3)",76.69131782845255
2,2005,2010,"(3, 2, 1)",6.767290156360278
3,2011,2015,"(3, 0, 0)",-3.2906627343109687
4,2016,2024,"(0, 2, 1)",28.568225919244032
