Regime,Start_Year,End_Year,Order,AIC
1,1970,1993,"(0, 2, 2)",62.0392494024393
2,1994,2009,"(0, 2, 2)",28.019588555125782
3,2010,2019,"(0, 2, 2)",18.950184456306765
4,2020,2024,"(3, 0, 0)",-1.1359538347583715
