Regime,Start_Year,End_Year,Order,AIC
1,1970,1983,"(0, 2, 0)",78.96153317760084
2,1984,2002,"(3, 2, 0)",128.64833952957906
3,2003,2019,"(3, 2, 3)",14.0
4,2020,2024,"(2, 2, 0)",22.89189431161853
