Regime,Start_Year,End_Year,Order,AIC
1,1970,1974,"(2, 0, 0)",4.990385153273948
2,1975,2019,"(1, 2, 2)",305.41631420532536
3,2020,2024,"(2, 2, 0)",8.956780002948204
