Regime,Start_Year,End_Year,Order,AIC
1,1970,2003,"(0, 2, 1)",214.89173860393385
2,2004,2014,"(0, 2, 1)",82.66170899328851
3,2015,2019,"(2, 2, 0)",20.320360830237938
4,2020,2024,"(1, 2, 0)",31.985104974939915
