Regime,Start_Year,End_Year,Order,AIC
1,1970,1975,"(0, 0, 0)",-4.279233766852393
2,1976,1997,"(0, 2, 2)",4.396208821610505
3,1998,2004,"(3, 2, 0)",-3.570909798242706
4,2005,2024,"(0, 2, 1)",-40.48922910758996
