Regime,Start_Year,End_Year,Order,AIC
1,1970,1983,"(3, 0, 1)",-88.31515542362416
2,1984,2005,"(1, 0, 0)",-123.81401825270822
3,2006,2019,"(1, 1, 0)",-75.39935421531887
4,2020,2024,"(1, 1, 0)",-13.848148304197803
