Regime,Start_Year,End_Year,Order,AIC
1,1970,1978,"(1, 1, 0)",-19.472522713592056
2,1979,1996,"(0, 2, 1)",-18.995268329820938
3,1997,2002,"(0, 0, 0)",-8.261714780584706
4,2003,2024,"(0, 1, 0)",-12.626147931625534
