Year,Forecast,Lower_95,Upper_95
2025,0.4784343074729119,0.4354817768347553,0.5213868381110685
2026,0.49768825114213056,0.40688070920830205,0.5884957930759591
2027,0.5142982406245376,0.3701319635111795,0.6584645177378956
2028,0.5286273440718868,0.32798364549912934,0.7292710426446443
2029,0.5409887730675109,0.2822660263219175,0.7997115198131044
2030,0.5516527289371382,0.2342530490981991,0.8690524087760774
2031,0.5608523089233691,0.1848582818106942,0.9368463360360441
2032,0.5687886013234631,0.1347483387715956,1.0028288638753307
2033,0.5756350809621051,0.08441395996104611,1.0668562019631642
2034,0.5815414010772493,0.034217285832187416,1.1288655163223111
