Regime,Start_Year,End_Year,Order,AIC
1,1970,1989,"(2, 1, 0)",-105.76687837854709
2,1990,1999,"(1, 1, 0)",-32.95391684795044
3,2000,2019,"(0, 1, 0)",-29.414455847534146
4,2020,2024,"(0, 2, 0)",-4.960587400349848
