Regime,Start_Year,End_Year,Order,AIC
1,1970,1974,"(3, 0, 0)",-7.257978300403838
2,1975,1988,"(1, 0, 0)",-6.002338702687242
3,1989,2019,"(0, 2, 1)",18.64793485224423
4,2020,2024,"(3, 0, 2)",-3.512656482103292
