Regime,Start_Year,End_Year,Order,AIC
1,1970,2004,"(3, 2, 1)",-57.01463865090872
2,2005,2013,"(0, 2, 0)",23.492260784356468
3,2014,2019,"(0, 1, 0)",7.050452575955036
4,2020,2024,"(2, 2, 0)",3.590409868876475
