Regime,Start_Year,End_Year,Order,AIC
1,1970,1992,"(0, 2, 3)",20.860279190046843
2,1993,2002,"(0, 1, 0)",13.767240085647495
3,2003,2007,"(2, 2, 0)",-0.8812277316640271
4,2008,2024,"(1, 2, 2)",15.091958654521964
