Interval,Start,End,N,Slope,Slope_95%_Low,Slope_95%_High,Intercept,R2,Slope_p,Avg_Annual_Growth(abs),CAGR(%),RMSE,MAE,MAPE(%),YoY_Mean(%),YoY_Std(%)
1990-2008,1990,2008,19,56.186162312280736,50.43297454900848,61.939350075552994,1306.5501690842111,0.9614994162613684,1.83831194909919e-13,56.186162312280736,3.4356170655205798,61.58134094174811,43.73693909510612,2.2583967877285502,3.4454858217232167,1.4724351468485548
2008-2012,2008,2012,5,136.52578700000026,112.79079473137685,160.26077926862368,2467.024737399999,0.9911268638733581,0.0003556842404237527,136.52578700000026,5.1324014564796405,18.268531352907782,17.492697679999946,0.6340518263630036,5.134666709956992,0.798233145012165
2012-2017,2012,2017,6,91.01471342857087,65.8423204683865,116.18710638875524,3026.7680417619067,0.9618229186032422,0.000553667189788445,91.01471342857087,2.8486964096474665,30.96768968365407,26.850750555555425,0.8307378717440432,2.865370695873395,2.0782083952470884
2017-2024,2017,2024,8,121.52875890476162,59.34125571318397,183.71626209633928,3386.006159333332,0.7921423738041271,0.0030570918350621007,121.52875890476162,3.245167860749909,142.6395871984707,118.55619496428625,3.1851045553492314,3.3265826812824564,4.368824403094525
