Interval,Slope,Intercept,R²,Slope p-value,Avg Annual Growth
1990-2008,56.18616231228068,1306.5501690842107,0.9614994162613684,1.83831194909919e-13,56.18616231228068
2008-2012,136.525787,2467.0247374,0.9911268638733581,0.0003556842404237527,136.525787
2012-2017,91.01471342857141,3026.7680417619054,0.9618229186032423,0.000553667189788445,91.01471342857141
2017-2024,121.5287589047619,3386.006159333333,0.7921423738041276,0.0030570918350621007,121.5287589047619
