Segment,Start_Index,End_Index,Breakpoint_Index,Breakpoint_Year,Slope,Intercept,RMSE,MAE,MAPE%,Length
1,0,32,33.0,2003.0,39.156376489167776,601.9743105961144,50.629850877768206,42.042883422576196,4.080906794001672,33
2,33,44,45.0,2015.0,121.50040343341624,-3407.5390027066214,1288.0532173264708,1287.6963067700963,51.743819544152714,12
3,45,49,50.0,2020.0,47.14220748985802,-1519.4250264474967,2791.8591196054344,2790.8602814241694,80.07567142736181,5
4,50,54,,,195.59240920368808,-9177.646149588289,2951.2870330236797,2950.7682777965083,75.23273534391225,5
