Regime,Start_Year,End_Year,Order,AIC
1,1970,2002,"(0, 2, 1)",275.3070786238524
2,2003,2014,"(0, 2, 2)",108.84588366105889
3,2015,2019,"(0, 2, 0)",37.83665456833328
4,2020,2024,"(0, 2, 0)",33.636642290782795
