Year,Forecast,Lower_95,Upper_95
2025,0.309,0.294,0.324
2026,0.311,0.29,0.331
2027,0.312,0.288,0.336
2028,0.314,0.287,0.34
2029,0.315,0.287,0.343
2030,0.316,0.286,0.346
2031,0.317,0.286,0.348
2032,0.318,0.286,0.35
2033,0.319,0.286,0.352
2034,0.32,0.287,0.354
