Regime,Start_Year,End_Year,Order,AIC
1,1990,2005,"(1, 1, 1)",-79.2421873626307
2,2006,2011,"(0, 0, 0)",-32.3896723977302
3,2012,2016,"(0, 0, 1)",-18.46481591750074
4,2017,2024,"(1, 0, 0)",-47.49529065971252
