Year,Forecast,Lower_95,Upper_95
2025,3.09,3.089,3.092
2026,3.064,3.062,3.065
2027,2.999,2.996,3.001
2028,2.869,2.866,2.871
2029,2.729,2.726,2.732
2030,2.565,2.562,2.568
2031,2.436,2.433,2.439
2032,2.327,2.324,2.33
2033,2.288,2.285,2.291
2034,2.291,2.288,2.295
