,forecast,lower_95,upper_95
2025-01-01,3.0989120359676536,3.000616996727689,3.1972070752076185
2026-01-01,3.1586568000685586,3.01081236367549,3.306501236461627
2027-01-01,3.217658080059161,3.025705050516175,3.4096111096021473
2028-01-01,3.275925128107925,3.041674635628138,3.510175620587712
2029-01-01,3.3334670812461913,3.0574646960826195,3.609469466409763
2030-01-01,3.3902929628009826,3.0725105970703224,3.708075328531643
2031-01-01,3.4464116838099805,3.0865278617560308,3.8062955058639303
2032-01-01,3.50183204441889,3.099366574108155,3.9042975147296253
2033-01-01,3.5565627352614193,3.110948637076697,4.002176833446142
2034-01-01,3.610612338822081,3.1212370715732454,4.0999876060709175
