Regime,Start_Year,End_Year,Order,AIC
1,1970,2003,"(1, 1, 1)",-152.78131728899982
2,2004,2014,"(0, 2, 2)",-30.312310933038347
3,2015,2019,"(3, 0, 0)",-34.996978513541265
4,2020,2024,"(3, 0, 0)",-19.5845493277714
