Segment,Start_Index,End_Index,Breakpoint_Index,Breakpoint_Year,Slope,Intercept,RMSE,MAE,MAPE%,Length
1,0,33,34.0,2004.0,0.016644176676995102,1.2239776610118775,0.03714442481592134,0.02809131608739895,1.9643180391097068,34
2,34,44,45.0,2015.0,0.071299240331183,-1.2001965102483443,0.5660138790134689,0.565661143968571,26.640269046702965,11
3,45,49,50.0,2020.0,0.0035041130604659965,1.0662925732909077,1.3735657640120054,1.3722875274671904,52.689804331170485,5
4,50,54,,,0.11221561824164958,-4.386803251070601,1.3442740856778868,1.343713554504823,48.26952564074934,5
